Index;Latitude;Longitude;Distance from Tx [km];Terrain height [m a.s.l.]
0;51,4552910000034;17,105016;0;117
1;51,4548698319353;17,1037408128703;0,1;127
2;51,4544486500356;17,1024656492711;0,2;119
3;51,454027454305;17,1011905092025;0,3;102
4;51,4536062447437;17,0999153926644;0,4;107
5;51,4531850213525;17,0986402996569;0,5;112
6;51,4527637841315;17,0973652301799;0,6;97
7;51,4523425330815;17,0960901842334;0,7;104
8;51,4519212682027;17,0948151618173;0,8;110
9;51,4514999894957;17,0935401629318;0,9;107
10;51,4510786969609;17,0922651875766;1;113
11;51,4506573905989;17,0909902357519;1,1;105
12;51,45023607041;17,0897153074576;1,2;109
13;51,4498147363947;17,0884404026937;1,3;103
14;51,4493933885535;17,0871655214602;1,4;95
15;51,4489720268869;17,0858906637571;1,5;103
16;51,4485506513953;17,0846158295843;1,6;122
17;51,4481292620792;17,0833410189418;1,7;117
18;51,447707858939;17,0820662318296;1,8;102
19;51,4472864419752;17,0807914682477;1,9;93
20;51,4468650111883;17,0795167281961;2;93
21;51,4464435665788;17,0782420116747;2,1;100
22;51,446022108147;17,0769673186836;2,2;99
23;51,4456006358935;17,0756926492227;2,3;103
24;51,4451791498187;17,074418003292;2,4;88
25;51,4447576499232;17,0731433808915;2,5;89
26;51,4443361362072;17,0718687820212;2,6;91
27;51,4439146086714;17,070594206681;2,7;89
28;51,4434930673162;17,0693196548709;2,8;97
29;51,443071512142;17,0680451265909;2,9;86
30;51,4426499431494;17,0667706218411;3;92
31;51,4422283603387;17,0654961406213;3,1;90
32;51,4418067637104;17,0642216829316;3,2;87
33;51,4413851532651;17,0629472487719;3,3;90
34;51,4409635290031;17,0616728381422;3,4;81
35;51,4405418909249;17,0603984510425;3,5;96
36;51,4401202390311;17,0591240874729;3,6;93
37;51,439698573322;17,0578497474331;3,7;88
38;51,4392768937981;17,0565754309233;3,8;105
39;51,4388552004599;17,0553011379435;3,9;112
40;51,4384334933078;17,0540268684936;4;110
41;51,4380117723424;17,0527526225735;4,1;107
42;51,437590037564;17,0514784001833;4,2;102
43;51,4371682889731;17,050204201323;4,3;88
44;51,4367465265703;17,0489300259925;4,4;93
45;51,436324750356;17,0476558741918;4,5;94
46;51,4359029603305;17,0463817459209;4,6;94
47;51,4354811564945;17,0451076411797;4,7;84
48;51,4350593388483;17,0438335599683;4,8;90
49;51,4346375073924;17,0425595022867;4,9;96
50;51,4342156621273;17,0412854681348;5;89
51;51,4337938030535;17,0400114575125;5,1;93
52;51,4333719301714;17,03873747042;5,2;97
53;51,4329500434814;17,0374635068571;5,3;95
54;51,4325281429841;17,0361895668238;5,4;89
55;51,4321062286799;17,0349156503201;5,5;92
56;51,4316843005692;17,033641757346;5,6;105
57;51,4312623586526;17,0323678879016;5,7;85
58;51,4308404029305;17,0310940419866;5,8;102
59;51,4304184334033;17,0298202196012;5,9;96
60;51,4299964500715;17,0285464207453;6;93
61;51,4295744529357;17,0272726454189;6,1;88
62;51,4291524419962;17,025998893622;6,2;84
63;51,4287304172534;17,0247251653545;6,3;76
64;51,428308378708;17,0234514606165;6,4;91
65;51,4278863263603;17,0221777794078;6,5;74
66;51,4274642602108;17,0209041217286;6,6;98
67;51,4270421802599;17,0196304875787;6,7;84
68;51,4266200865082;17,0183568769582;6,8;79
69;51,4261979789561;17,017083289867;6,9;93
70;51,4257758576041;17,0158097263051;7;87
71;51,4253537224525;17,0145361862725;7,1;86
72;51,4249315735019;17,0132626697691;7,2;92
73;51,4245094107528;17,011989176795;7,3;91
74;51,4240872342056;17,0107157073501;7,4;86
75;51,4236650438608;17,0094422614345;7,5;87
76;51,4232428397188;17,0081688390479;7,6;89
77;51,4228206217801;17,0068954401906;7,7;85
78;51,4223983900451;17,0056220648624;7,8;91
79;51,4219761445144;17,0043487130633;7,9;88
80;51,4215538851884;17,0030753847933;8;93
81;51,4211316120675;17,0018020800523;8,1;89
82;51,4207093251523;17,0005287988404;8,2;90
83;51,4202870244431;16,9992555411576;8,3;88
84;51,4198647099405;16,9979823070037;8,4;92
85;51,4194423816449;16,9967090963788;8,5;91
86;51,4190200395567;16,9954359092829;8,6;100
87;51,4185976836765;16,9941627457159;8,7;89
88;51,4181753140047;16,9928896056779;8,8;86
89;51,4177529305417;16,9916164891687;8,9;85
90;51,4173305332881;16,9903433961884;9;79
91;51,4169081222442;16,9890703267369;9,1;90
92;51,4164856974106;16,9877972808143;9,2;85
93;51,4160632587877;16,9865242584205;9,3;81
94;51,415640806376;16,9852512595554;9,4;76
95;51,415218340176;16,9839782842191;9,5;85
96;51,414795860188;16,9827053324116;9,6;84
97;51,4143733664126;16,9814324041327;9,7;74
98;51,4139508588503;16,9801594993826;9,8;75
99;51,4135283375014;16,9788866181611;9,9;100
100;51,4131058023665;16,9776137604683;10;91
101;51,412683253446;16,976340926304;10,1;113
102;51,4122606907404;16,9750681156684;10,2;94
103;51,4118381142501;16,9737953285613;10,3;84
104;51,4114155239757;16,9725225649828;10,4;93
105;51,4109929199175;16,9712498249329;10,5;92
106;51,4105703020761;16,9699771084114;10,6;92
107;51,4101476704519;16,9687044154184;10,7;98
108;51,4097250250453;16,9674317459538;10,8;114
109;51,4093023658569;16,9661591000177;10,9;102
110;51,408879692887;16,96488647761;11;97
111;51,4084570061363;16,9636138787307;11,1;92
112;51,408034305605;16,9623413033797;11,2;84
113;51,4076115912937;16,9610687515571;11,3;89
114;51,4071888632029;16,9597962232628;11,4;99
115;51,4067661213329;16,9585237184967;11,5;107
116;51,4063433656844;16,957251237259;11,6;111
117;51,4059205962576;16,9559787795495;11,7;126
118;51,4054978130532;16,9547063453681;11,8;105
119;51,4050750160715;16,953433934715;11,9;109
120;51,4046522053131;16,9521615475901;12;103
121;51,4042293807783;16,9508891839933;12,1;118
122;51,4038065424677;16,9496168439246;12,2;113
123;51,4033836903817;16,948344527384;12,3;114
124;51,4029608245208;16,9470722343714;12,4;104
125;51,4025379448854;16,9457999648869;12,5;110
126;51,4021150514761;16,9445277189304;12,6;116
127;51,4016921442932;16,943255496502;12,7;116
128;51,4012692233372;16,9419832976014;12,8;96
129;51,4008462886086;16,9407111222289;12,9;96
130;51,4004233401079;16,9394389703842;13;99
131;51,4000003778355;16,9381668420674;13,1;98
132;51,3995774017918;16,9368947372785;13,2;104
133;51,3991544119775;16,9356226560175;13,3;78
134;51,3987314083928;16,9343505982842;13,4;91
135;51,3983083910383;16,9330785640788;13,5;79
136;51,3978853599144;16,9318065534011;13,6;81
137;51,3974623150217;16,9305345662512;13,7;97
138;51,3970392563605;16,9292626026289;13,8;91
139;51,3966161839313;16,9279906625344;13,9;86
140;51,3961930977346;16,9267187459675;14;87
141;51,3957699977709;16,9254468529282;14,1;96
142;51,3953468840406;16,9241749834166;14,2;96
143;51,3949237565442;16,9229031374325;14,3;101
144;51,3945006152821;16,921631314976;14,4;98
145;51,3940774602548;16,9203595160471;14,5;110
146;51,3936542914628;16,9190877406456;14,6;108
147;51,3932311089065;16,9178159887716;14,7;101
148;51,3928079125864;16,9165442604251;14,8;105
149;51,3923847025029;16,915272555606;14,9;108
150;51,3919614786566;16,9140008743143;15;100
151;51,3915382410479;16,9127292165499;15,1;103
152;51,3911149896772;16,911457582313;15,2;102
153;51,390691724545;16,9101859716033;15,3;92
154;51,3902684456518;16,9089143844209;15,4;106
155;51,389845152998;16,9076428207658;15,5;91
